HpGP-GMB-009	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-GRE-001	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-002	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-GRE-003	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-004	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-005	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-006	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-GRE-008	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-011	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-012	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-GRE-018	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-019	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-020	100.00	1	1	S1	592205	                    Helicobacter pylori B38
